github repo,cve vendor,cve product,cve ids
canonical/apport,canonical,apport,CVE-2015-1341 CVE-2020-11936 CVE-2020-15701 CVE-2020-15702 CVE-2021-25682 CVE-2021-25683 CVE-2021-25684 CVE-2021-32556 CVE-2021-32557 CVE-2021-3709 CVE-2021-3710 CVE-2021-3899 CVE-2022-1242 CVE-2022-28653
canonical/cloud-init,canonical,cloud-init,CVE-2012-6639 CVE-2018-10896 CVE-2020-8631 CVE-2020-8632 CVE-2021-3429 CVE-2022-2084
canonical/snapd,canonical,snapd,CVE-2019-11502 CVE-2019-11503 CVE-2019-7303 CVE-2019-7304 CVE-2020-11933 CVE-2020-27352 CVE-2021-3155 CVE-2021-4120 CVE-2021-44730 CVE-2021-44731
canonical/subiquity,canonical,subiquity,CVE-2020-11932 CVE-2022-0555
capnproto/capnproto,capnproto,capnproto,CVE-2015-2310 CVE-2015-2311 CVE-2015-2312 CVE-2015-2313 CVE-2017-7892
capstone-engine/capstone,capstone-engine,capstone,CVE-2016-7151 CVE-2017-6952
centreon/centreon,centreon,centreon,CVE-2007-6485 CVE-2008-1119 CVE-2008-1178 CVE-2008-1179 CVE-2015-1560 CVE-2015-1561 CVE-2015-7672 CVE-2018-11587 CVE-2018-11588 CVE-2018-11589 CVE-2018-19271 CVE-2018-19280 CVE-2018-19281 CVE-2018-19311 CVE-2018-19312 CVE-2018-21024 CVE-2019-13024 CVE-2019-16194 CVE-2019-16195 CVE-2019-17501 CVE-2019-17642 CVE-2019-17643 CVE-2019-17644 CVE-2019-17645 CVE-2019-17646 CVE-2019-17647 CVE-2019-19484 CVE-2019-19486 CVE-2019-19487 CVE-2019-19699 CVE-2019-20327 CVE-2020-10945 CVE-2020-13252 CVE-2020-22345 CVE-2020-22425 CVE-2020-9463 CVE-2021-27676 CVE-2021-28053 CVE-2021-28054 CVE-2021-28055 CVE-2021-37556 CVE-2021-37557 CVE-2021-37558
ceph/ceph,ceph,ceph,CVE-2017-12155 CVE-2017-7519 CVE-2018-10861 CVE-2018-1129 CVE-2019-10222 CVE-2020-1700
ceph/ceph-deploy,ceph,ceph-deploy,CVE-2015-3010 CVE-2015-4053
cerebrate-project/cerebrate,cerebrate-project,cerebrate,CVE-2022-25317 CVE-2022-25318 CVE-2022-25319 CVE-2022-25320 CVE-2022-25321
